2015-01-09;00:45:42;90.893;13.73;1.20
2015-01-09;00:50:37;104.366;7.98;1.45
2015-01-09;00:55:39;81.212;13.08;1.81
2015-01-09;01:00:47;87.017;13.42;1.58
2015-01-09;01:05:44;106.699;10.51;1.65
2015-01-09;01:10:41;88.547;10.51;1.43
2015-01-09;01:15:42;84.27;8.16;1.48
2015-01-09;01:20:44;93.747;9.53;1.76
2015-01-09;01:25:47;89.469;10.19;1.72
2015-01-09;01:30:46;89.364;12.26;1.71
2015-01-09;01:35:39;108.793;12.93;1.15
2015-01-09;01:40:48;116.367;13.57;1.39
2015-01-09;01:45:36;96.471;14.91;1.13
2015-01-09;01:50:38;102.456;13.22;1.22
2015-01-09;01:55:45;99.005;10.94;1.67
2015-01-09;02:00:49;114.449;13.19;1.50
2015-01-09;02:05:43;74.537;13.83;1.40
2015-01-09;02:10:43;101.212;11.27;1.30
2015-01-09;02:15:46;81.191;11.25;1.82
2015-01-09;02:20:37;85.404;15.73;1.16
2015-01-09;02:30:48;110.449;11.55;1.86
2015-01-09;02:30:58;59.13;13.68;1.20
2015-01-09;02:35:42;107.025;10.36;1.47
2015-01-09;02:40:50;95.81;9.92;1.48
2015-01-09;02:45:41;105.266;10.37;1.49
2015-01-09;02:50:43;107.343;11.92;1.70
2015-01-09;02:55:43;82.608;12.47;1.86
2015-01-09;03:00:42;106.421;12.31;1.58
2015-01-09;03:05:47;116.393;11.41;1.88
2015-01-09;03:10:43;91.158;9.80;1.45
2015-01-09;03:15:46;85.0;10.77;1.56
2015-01-09;03:20:42;109.781;8.36;1.45
2015-01-09;03:25:39;98.32;9.66;1.36
2015-01-09;03:30:41;93.708;11.80;1.44
2015-01-09;03:35:45;75.173;10.28;1.58
2015-01-09;03:40:45;92.448;11.33;1.69
2015-01-09;03:45:45;171.146;9.88;1.74
2015-01-09;03:50:42;57.95;11.17;1.42
2015-01-09;03:55:47;74.579;10.25;1.79
2015-01-09;04:00:43;117.838;11.05;1.45
2015-01-09;04:05:50;65.769;11.75;1.82
2015-01-09;04:10:45;105.024;12.57;1.69
2015-01-09;04:15:45;74.509;11.87;1.72
2015-01-09;04:20:39;110.962;8.15;1.61
2015-01-09;04:25:42;95.856;10.92;1.41
2015-01-09;04:31:24;87.552;11.73;1.42
2015-01-09;04:35:42;88.632;10.00;1.65
2015-01-09;04:40:44;107.001;11.46;1.69
2015-01-09;04:45:41;67.091;13.60;1.43
2015-01-09;04:50:41;101.863;9.78;1.57
2015-01-09;04:55:37;111.257;11.89;1.57
2015-01-09;05:00:56;115.191;13.32;1.11
2015-01-09;05:05:43;89.381;9.96;1.50
2015-01-09;05:10:43;104.383;7.30;1.81
2015-01-09;05:15:45;75.028;11.10;1.83
2015-01-09;05:20:35;111.817;14.97;1.46
2015-01-09;05:25:45;101.76;11.66;1.71
2015-01-09;05:30:44;95.105;9.72;1.72
2015-01-09;05:35:44;98.521;17.36;1.19
2015-01-09;05:40:42;75.89;11.05;1.50
2015-01-09;05:45:45;97.122;11.63;1.70
2015-01-09;05:50:46;90.591;10.18;1.82
2015-01-09;05:55:42;80.416;10.80;1.50
2015-01-09;06:00:50;102.994;10.92;1.81
2015-01-09;06:05:42;87.578;13.99;1.83
2015-01-09;06:10:44;102.559;8.87;1.83
2015-01-09;06:15:49;107.747;10.70;1.41
2015-01-09;06:20:44;93.094;10.76;1.77
2015-01-09;06:25:35;105.205;9.85;1.57
2015-01-09;06:30:50;95.805;11.61;1.68
2015-01-09;06:35:43;80.228;10.47;1.41
2015-01-09;06:40:45;105.246;11.61;1.81
2015-01-09;06:45:44;107.988;7.84;1.77
2015-01-09;06:50:43;93.166;9.68;1.77
2015-01-09;06:55:45;91.822;9.83;1.34
2015-01-09;07:00:41;115.226;11.36;1.33
2015-01-09;07:05:47;115.825;11.32;1.54
2015-01-09;07:10:45;115.804;11.09;1.52
2015-01-09;07:15:42;95.707;10.83;1.57
2015-01-09;07:20:46;115.698;10.72;1.81
2015-01-09;07:25:34;91.681;17.41;1.48
2015-01-09;07:30:44;109.174;9.53;1.51
2015-01-09;07:35:46;115.87;11.76;1.51
2015-01-09;07:40:46;69.683;11.66;1.77
2015-01-09;07:45:42;91.186;10.61;1.41
2015-01-09;11:40:47;99.958;10.76;1.89
2015-01-09;11:45:42;96.335;7.95;1.48
2015-01-09;11:50:46;66.858;11.12;1.75
2015-01-09;11:55:40;95.87;13.36;1.05
2015-01-09;12:00:41;103.9;8.65;1.50
2015-01-09;12:05:43;113.692;11.12;1.28
2015-01-09;12:10:43;88.993;7.51;1.75
2015-01-09;12:15:48;104.911;12.05;1.31
2015-01-09;12:20:46;78.29;11.22;1.76
2015-01-09;12:25:42;74.504;10.51;1.59
2015-01-09;12:30:47;117.582;10.85;1.22
2015-01-09;12:35:35;61.322;13.12;1.41
2015-01-09;12:40:46;88.452;12.48;1.69
